"62";"6-3-1";"G1124P-24-250W";"3";"10";"0";"90";"2021-04-30 13:50:39"
"63";"6-3-2";"MW5s-2PK";"12";"18";"0";"216";"2021-04-30 13:50:39"
"64";"7-G-1";"F1109P-8-102W";"10";"11";"7";"117";"2021-04-30 13:50:39"
"65";"7-G-1";"F1110P-8-102W";"10";"1";"8";"18";"2021-04-30 13:50:39"
"66";"7-G-1";"G1109P-8-102W";"10";"17";"3";"173";"2021-04-30 14:10:33"
"67";"7-G-1";"G1008";"10";"1";"3";"13";"2021-04-30 14:11:24"
"68";"7-G-1";"G1024D";"5";"4";"2";"22";"2021-04-30 13:50:39"
"69";"7-G-1";"G1024F";"5";"3";"2";"17";"2021-04-30 13:50:39"
"70";"7-G-1";"G1005";"0";"0";"51";"51";"2021-04-30 13:50:39"
"71";"7-G-1";"AP255_US";"0";"0";"48";"48";"2021-04-30 13:50:39"
"72";"7-G-1";"F1218P-16-250W";"5";"3";"4";"19";"2021-04-30 14:11:07"
"73";"7-G-1";"G5328F";"5";"3";"3";"18";"2021-04-30 13:50:39"
"74";"7-1-1";"G1116P-16-150W";"5";"24";"0";"120";"2021-04-30 13:50:39"
"75";"7-1-2";"G1024D";"5";"24";"0";"120";"2021-04-30 13:50:39"
"76";"7-2-1";"MW6-2PK";"12";"16";"0";"192";"2021-04-30 13:50:39"
"77";"7-2-2";"MW6-2PK";"12";"16";"0";"192";"2021-04-30 13:50:39"
"78";"7-3-1";"MW6-3PK";"6";"24";"0";"144";"2021-04-30 13:50:39"
"79";"7-3-2";"MW5G-3PK";"6";"36";"0";"216";"2021-04-30 13:50:39"
"80";"8-G-1";"F1226P-24-410W";"3";"4";"1";"13";"2021-04-30 13:50:39"
"81";"8-G-1";"F1106P-4-63W";"0";"0";"0";"0";"2021-04-30 14:10:08"
"82";"8-G-1";"G5328X";"5";"4";"0";"20";"2021-04-30 13:50:39"
"83";"8-G-1";"G3328F";"5";"5";"4";"29";"2021-04-30 13:50:39"
"84";"8-G-1";"G3224P";"3";"1";"1";"4";"2021-04-30 13:50:39"
"85";"8-G-1";"G1105PD";"0";"0";"5";"5";"2021-04-30 14:11:24"
"86";"8-G-1";"W63AP";"20";"4";"0";"80";"2021-04-30 14:11:35"
"87";"8-G-1";"W64AP";"20";"4";"19";"99";"2021-04-30 13:50:39"
"88";"8-G-1";"W66AP";"20";"3";"12";"72";"2021-04-30 14:03:00"
"89";"8-G-1";"M50";"5";"5";"2";"27";"2021-04-30 13:50:39"
"90";"8-G-1";"M80";"0";"0";"5";"5";"2021-04-30 13:50:39"
"91";"8-G-1";"CPE3";"20";"1";"10";"30";"2021-04-30 14:10:56"
"92";"8-G-1";"EP9";"0";"0";"11";"11";"2021-04-30 13:50:39"
"93";"8-1-1";"MW5s-3PK";"6";"27";"0";"162";"2021-04-30 13:50:39"
"94";"8-1-1";"MW5c-3PK";"6";"9";"0";"54";"2021-04-30 13:50:39"
"95";"8-1-2";"MW6-3PK";"6";"30";"0";"180";"2021-04-30 13:50:39"
"96";"8-2-1";"MW5G-3PK";"6";"27";"0";"162";"2021-04-30 13:50:39"
"97";"8-2-2";"MW5G-3PK";"6";"27";"0";"162";"2021-04-30 13:50:39"
"98";"8-3-1";"MW5G-3PK";"6";"36";"0";"216";"2021-04-30 13:50:39"
"99";"8-3-2";"MW5G-3PK";"6";"36";"0";"216";"2021-04-30 13:50:39"
"100";"9-G-1";"iLBE-5AC";"6";"9";"4";"58";"2021-04-30 13:50:39"
"101";"9-G-1";"CPE9";"20";"2";"10";"50";"2021-04-30 13:50:39"
"102";"9-G-1";"PSE30G-AT";"30";"5";"14";"164";"2021-04-30 13:50:39"
"103";"9-G-1";"AC3000-32";"3";"6";"0";"18";"2021-04-30 13:50:39"
"104";"10-G-1";"F1126P-24-250W";"5";"15";"3";"78";"2021-04-30 13:50:39"
"105";"11-G-1";"CPE12";"20";"3";"11";"71";"2021-04-30 13:50:39"
"106";"11-G-1";"iUAP-AC-M";"20";"6";"7";"127";"2021-04-30 13:50:39"
"107";"12-G-1";"F1226P-24-410W";"3";"5";"0";"15";"2021-04-30 13:50:39"
"108";"12-G-1";"F1106P-4-63W";"30";"3";"16";"106";"2021-04-30 14:10:33"
"109";"12-G-1";"TEF1109P-8-102W";"10";"1";"0";"10";"2021-04-30 13:50:39"
"110";"12-G-1";"TEG1124P-24-250W";"3";"3";"0";"9";"2021-04-30 13:50:39"
"111";"12-G-1";"AP4";"20";"0";"15";"15";"2021-04-30 14:10:07"
"112";"12-G-1";"TEG1024F";"5";"1";"0";"5";"2021-04-30 13:50:39"
"113";"13-G-1";"G5312F";"5";"6";"4";"34";"2021-04-30 13:50:39"
"114";"13-G-1";"G1105P-4-63W";"30";"6";"8";"188";"2021-04-30 15:31:09"
"115";"14-G-1";"TEF1226P-24-440W";"3";"11";"1";"34";"2021-04-30 13:50:39"
"116";"14-G-1";"MW5G-3PK";"6";"1";"3";"9";"2021-04-30 13:50:39"
